id;date_init;date_final;contract_term;contract_value;status_contract
1;2022-06-03;2022-06-03;36497;20290;ACTIVE
2;2022-06-03;2022-06-03;33481;28055;INACTIVE
3;2022-06-03;2022-06-03;93289;15628;INACTIVE
4;2022-06-03;2022-06-03;39227;17285;INACTIVE
5;2022-06-03;2022-06-03;36357;86859;INACTIVE
6;2022-06-03;2022-06-03;67001;65201;ACTIVE
7;2022-06-03;2022-06-03;15615;1365;INACTIVE
8;2022-06-03;2022-06-03;35648;10123;INACTIVE
9;2022-06-03;2022-06-03;45195;60404;ACTIVE
10;2022-06-03;2022-06-03;78059;25311;ACTIVE
