id;date_invoice;social_reason;client_address;phone_number;quantity;price_services;total_value_services;total_iva;net_values
1;2022-06-03;RAM estatica;Lugar;89234;94315;55902;22604;21030;81602
2;2022-06-03;migración Austria;Intranet bypassing nacional;13729;99973;79944;48950;38331;6307
3;2022-06-03;Account Borders Home;Salud;20522;71595;73808;24198;87472;79274
4;2022-06-03;Implementado web mano;Metal Heredado transmitting;51845;76843;98367;35535;16111;32340
5;2022-06-03;Ariary Enfocado;Armenian HTTP sticky;10665;58385;36904;93655;23436;32278
6;2022-06-03;action-items;hardware;49531;72584;98923;88985;85804;7138
7;2022-06-03;Navarra;Ensalada;82749;26260;53788;39958;66616;19520
8;2022-06-03;Ensalada;Plástico Bricolaje Paseo;5093;2706;57955;34085;96191;5687
9;2022-06-03;Ghana;index artificial;58730;4123;5252;58154;88937;58618
10;2022-06-03;Home Barbados;Blanco RAM reboot;34503;60903;52579;53174;36683;20028
